jurisdicao,municipio,distancia_m,tempo_s,cod_ibge
"Picos","ACAUA","167219","8449","2200053"
"Floriano","AGRICOLANDIA","155796","7909","2200103"
"Floriano","AGUA BRANCA","148270","7071","2200202"
"Picos","ALAGOINHA DO PIAUI","75206","4700","2200251"
"Picos","ALEGRETE DO PIAUI","74689","4482","2200277"
"Teresina","ALTO LONGA","76930","4384","2200301"
"Teresina","ALTOS","37175","2141","2200400"
"Bom Jesus","ALVORADA DO GURGUEIA","95973","4892","2200459"
"Floriano","AMARANTE","87679","4102","2200509"
"Floriano","ANGICAL DO PIAUI","120985","5699","2200608"
"São Raimundo Nonato","ANISIO DE ABREU","53303","3608","2200707"
"Floriano","ANTONIO ALMEIDA","153333","7153","2200806"
"Valença","AROAZES","42787","2525","2200905"
"Picos","AROEIRAS DO ITAIM","27702","2082","2200954"
"Oeiras","ARRAIAL","94897","5485","2201002"
"Valença","ASSUNCAO DO PIAUI","166006","9391","2201051"
"Bom Jesus","AVELINO LOPES","188175","9736","2201101"
"Floriano","BAIXA GRANDE DO RIBEIRO","334323","18103","2201150"
"Valença","BARRA D'ALCANTARA","49172","3305","2201176"
"Teresina","BARRAS","124645","6962","2201200"
"Corrente","BARREIRAS DO PIAUI","77417","3582","2201309"
"Teresina","BARRO DURO","102956","5850","2201408"
"Piripiri","BATALHA","53494","3471","2201507"
"Oeiras","BELA VISTA DO PIAUI","119899","6052","2201556"
"Picos","BELEM DO PIAUI","71245","4099","2201572"
"Teresina","BENEDITINOS","91650","5147","2201606"
"Floriano","BERTOLINIA","149968","7227","2201705"
"Picos","BETANIA DO PIAUI","199037","10248","2201739"
"Piripiri","BOA HORA","59243","3473","2201770"
"Picos","BOCAINA","24403","1948","2201804"
"Bom Jesus","BOM JESUS","0","0","2201903"
"Parnaíba","BOM PRINCIPIO DO PIAUI","42877","2436","2201919"
"São Raimundo Nonato","BONFIM DO PIAUI","32432","2050","2201929"
"Piripiri","BOQUEIRAO DO PIAUI","75762","4028","2201945"
"Piripiri","BRASILEIRA","17400","1140","2201960"
"São Raimundo Nonato","BREJO DO PIAUI","111083","4801","2201988"
"Parnaíba","BURITI DOS LOPES","36458","2166","2202000"
"Teresina","BURITI DOS MONTES","245388","13551","2202026"
"Teresina","CABECEIRAS DO PIAUI","97657","5408","2202059"
"Oeiras","CAJAZEIRAS DO PIAUI","68607","3987","2202075"
"Parnaíba","CAJUEIRO DA PRAIA","68694","3530","2202083"
"Picos","CALDEIRAO GRANDE DO PIAUI","128346","7104","2202091"
"Oeiras","CAMPINAS DO PIAUI","102974","6194","2202109"
