periodo,cod_ibge,municipio,quantidade
"2015","2200053","Acauã","3"
"2016","2200053","Acauã","2"
"2017","2200053","Acauã","8"
"2018","2200053","Acauã","5"
"2019","2200053","Acauã","1"
"2020","2200053","Acauã","1"
"2021","2200053","Acauã","1"
"2023","2200053","Acauã","3"
"2015","2200103","Agricolândia","3"
"2016","2200103","Agricolândia","5"
"2017","2200103","Agricolândia","5"
"2018","2200103","Agricolândia","2"
"2019","2200103","Agricolândia","1"
"2020","2200103","Agricolândia","1"
"2021","2200103","Agricolândia","2"
"2022","2200103","Agricolândia","2"
"2023","2200103","Agricolândia","3"
"2015","2200202","Água Branca","23"
"2016","2200202","Água Branca","53"
"2017","2200202","Água Branca","54"
"2018","2200202","Água Branca","12"
"2019","2200202","Água Branca","29"
"2020","2200202","Água Branca","17"
"2021","2200202","Água Branca","19"
"2022","2200202","Água Branca","34"
"2023","2200202","Água Branca","37"
"2015","2200251","Alagoinha do Piauí","19"
"2016","2200251","Alagoinha do Piauí","3"
"2017","2200251","Alagoinha do Piauí","38"
"2018","2200251","Alagoinha do Piauí","57"
"2019","2200251","Alagoinha do Piauí","4"
"2020","2200251","Alagoinha do Piauí","31"
"2021","2200251","Alagoinha do Piauí","148"
"2022","2200251","Alagoinha do Piauí","8"
"2023","2200251","Alagoinha do Piauí","7"
"2015","2200277","Alegrete do Piauí","11"
"2016","2200277","Alegrete do Piauí","4"
"2017","2200277","Alegrete do Piauí","9"
"2018","2200277","Alegrete do Piauí","7"
"2019","2200277","Alegrete do Piauí","3"
"2021","2200277","Alegrete do Piauí","7"
"2022","2200277","Alegrete do Piauí","2"
"2023","2200277","Alegrete do Piauí","4"
"2015","2200301","Alto Longá","8"
"2016","2200301","Alto Longá","22"
"2017","2200301","Alto Longá","16"
"2018","2200301","Alto Longá","4"
"2019","2200301","Alto Longá","9"
"2020","2200301","Alto Longá","3"
"2021","2200301","Alto Longá","2"
"2022","2200301","Alto Longá","7"
"2023","2200301","Alto Longá","4"
"2015","2200400","Altos","63"
"2016","2200400","Altos","65"
"2017","2200400","Altos","47"
"2018","2200400","Altos","57"
"2019","2200400","Altos","39"
"2020","2200400","Altos","22"
"2021","2200400","Altos","71"
"2022","2200400","Altos","41"
"2023","2200400","Altos","19"
"2015","2200459","Alvorada do Gurguéia","8"
"2016","2200459","Alvorada do Gurguéia","6"
"2017","2200459","Alvorada do Gurguéia","1"
"2018","2200459","Alvorada do Gurguéia","6"
"2019","2200459","Alvorada do Gurguéia","8"
"2020","2200459","Alvorada do Gurguéia","13"
"2021","2200459","Alvorada do Gurguéia","24"
"2022","2200459","Alvorada do Gurguéia","5"
"2023","2200459","Alvorada do Gurguéia","2"
"2015","2200509","Amarante","39"
"2016","2200509","Amarante","49"
"2017","2200509","Amarante","43"
"2018","2200509","Amarante","23"
"2019","2200509","Amarante","18"
"2020","2200509","Amarante","7"
"2021","2200509","Amarante","19"
"2022","2200509","Amarante","14"
"2023","2200509","Amarante","10"
"2015","2200608","Angical do Piauí","5"
"2016","2200608","Angical do Piauí","7"
"2017","2200608","Angical do Piauí","8"
"2018","2200608","Angical do Piauí","10"
"2019","2200608","Angical do Piauí","17"
"2020","2200608","Angical do Piauí","8"
"2021","2200608","Angical do Piauí","19"
"2022","2200608","Angical do Piauí","8"
"2023","2200608","Angical do Piauí","3"
"2015","2200707","Anísio de Abreu","22"
"2016","2200707","Anísio de Abreu","82"
"2017","2200707","Anísio de Abreu","56"
"2018","2200707","Anísio de Abreu","396"
"2019","2200707","Anísio de Abreu","33"
"2020","2200707","Anísio de Abreu","98"
"2021","2200707","Anísio de Abreu","7"
"2022","2200707","Anísio de Abreu","10"
"2023","2200707","Anísio de Abreu","9"
"2015","2200806","Antônio Almeida","5"
"2016","2200806","Antônio Almeida","13"
"2017","2200806","Antônio Almeida","8"
"2018","2200806","Antônio Almeida","3"
"2019","2200806","Antônio Almeida","2"
"2020","2200806","Antônio Almeida","3"
"2021","2200806","Antônio Almeida","2"
"2022","2200806","Antônio Almeida","2"
"2023","2200806","Antônio Almeida","3"
"2015","2200905","Aroazes","11"
"2016","2200905","Aroazes","7"
"2017","2200905","Aroazes","18"
"2018","2200905","Aroazes","9"
"2019","2200905","Aroazes","6"
"2020","2200905","Aroazes","3"
"2021","2200905","Aroazes","3"
"2022","2200905","Aroazes","3"
"2023","2200905","Aroazes","2"
"2015","2200954","Aroeiras do Itaim","1"
"2016","2200954","Aroeiras do Itaim","1"
"2017","2200954","Aroeiras do Itaim","2"
"2018","2200954","Aroeiras do Itaim","2"
"2019","2200954","Aroeiras do Itaim","2"
"2020","2200954","Aroeiras do Itaim","6"
"2015","2201002","Arraial","12"
"2016","2201002","Arraial","15"
"2017","2201002","Arraial","8"
"2018","2201002","Arraial","6"
"2019","2201002","Arraial","10"
"2021","2201002","Arraial","3"
"2022","2201002","Arraial","3"
"2023","2201002","Arraial","1"
"2015","2201051","Assunção do Piauí","3"
"2016","2201051","Assunção do Piauí","5"
"2017","2201051","Assunção do Piauí","5"
"2018","2201051","Assunção do Piauí","2"
"2019","2201051","Assunção do Piauí","4"
"2020","2201051","Assunção do Piauí","2"
"2021","2201051","Assunção do Piauí","4"
"2022","2201051","Assunção do Piauí","1"
"2015","2201101","Avelino Lopes","108"
"2016","2201101","Avelino Lopes","22"
"2017","2201101","Avelino Lopes","8"
"2018","2201101","Avelino Lopes","31"
"2019","2201101","Avelino Lopes","167"
"2020","2201101","Avelino Lopes","3"
"2021","2201101","Avelino Lopes","44"
"2022","2201101","Avelino Lopes","79"
"2023","2201101","Avelino Lopes","4"
