periodo,cod_ibge,municipio,media
"2020-2022","2200053","Acauã","0.6666666666666666"
"2020-2022","2200103","Agricolândia","1.6666666666666667"
"2020-2022","2200202","Água Branca","23.333333333333332"
"2020-2022","2200251","Alagoinha do Piauí","62.333333333333336"
"2020-2022","2200277","Alegrete do Piauí","3"
"2020-2022","2200301","Alto Longá","4"
"2020-2022","2200400","Altos","44.666666666666664"
"2020-2022","2200459","Alvorada do Gurguéia","14"
"2020-2022","2200509","Amarante","13.333333333333334"
"2020-2022","2200608","Angical do Piauí","11.666666666666666"
"2020-2022","2200707","Anísio de Abreu","38.333333333333336"
"2020-2022","2200806","Antônio Almeida","2.3333333333333335"
"2020-2022","2200905","Aroazes","3"
"2020-2022","2200954","Aroeiras do Itaim","2"
"2020-2022","2201002","Arraial","2"
"2020-2022","2201051","Assunção do Piauí","2.3333333333333335"
"2020-2022","2201101","Avelino Lopes","42"
"2020-2022","2201150","Baixa Grande do Ribeiro","29.333333333333332"
"2020-2022","2201176","Barra D'Alcântara","37.333333333333336"
"2020-2022","2201200","Barras","80.66666666666667"
"2020-2022","2201309","Barreiras do Piauí","61.666666666666664"
"2020-2022","2201408","Barro Duro","6.666666666666667"
"2020-2022","2201507","Batalha","9"
"2020-2022","2201556","Bela Vista do Piauí","22.666666666666668"
"2020-2022","2201606","Beneditinos","1.3333333333333333"
"2020-2022","2201705","Bertolínia","22"
"2020-2022","2201739","Betânia do Piauí","5"
"2020-2022","2201770","Boa Hora","4"
"2020-2022","2201804","Bocaina","4"
"2020-2022","2201903","Bom Jesus","197.66666666666666"
"2020-2022","2201919","Bom Princípio do Piauí","5.333333333333333"
"2020-2022","2201929","Bonfim do Piauí","4"
"2020-2022","2201945","Boqueirão do Piauí","28.333333333333332"
"2020-2022","2201960","Brasileira","7.666666666666667"
"2020-2022","2201988","Brejo do Piauí","1.3333333333333333"
"2020-2022","2202000","Buriti dos Lopes","10.666666666666666"
"2020-2022","2202026","Buriti dos Montes","3.6666666666666665"
"2020-2022","2202059","Cabeceiras do Piauí","3.3333333333333335"
"2020-2022","2202075","Cajazeiras do Piauí","22.333333333333332"
"2020-2022","2202083","Cajueiro da Praia","19"
"2020-2022","2202091","Caldeirão Grande do Piauí","0.3333333333333333"
"2020-2022","2202109","Campinas do Piauí","4.333333333333333"
"2020-2022","2202117","Campo Alegre do Fidalgo","3"
"2020-2022","2202133","Campo Grande do Piauí","13.666666666666666"
"2020-2022","2202174","Campo Largo do Piauí","2.6666666666666665"
"2020-2022","2202208","Campo Maior","115.66666666666667"
"2020-2022","2202251","Canavieira","1.3333333333333333"
"2020-2022","2202307","Canto do Buriti","32"
"2020-2022","2202406","Capitão de Campos","7.666666666666667"
"2020-2022","2202455","Capitão Gervásio Oliveira","23.666666666666668"
"2020-2022","2202505","Caracol","180.33333333333334"
"2020-2022","2202539","Caraúbas do Piauí","2.3333333333333335"
"2020-2022","2202554","Caridade do Piauí","0.6666666666666666"
"2020-2022","2202604","Castelo do Piauí","21.666666666666668"
"2020-2022","2202653","Caxingó","2.6666666666666665"
"2020-2022","2202703","Cocal","14.666666666666666"
"2020-2022","2202711","Cocal de Telha","1.6666666666666667"
"2020-2022","2202729","Cocal dos Alves","8"
"2020-2022","2202737","Coivaras","0.6666666666666666"
"2020-2022","2202752","Colônia do Gurguéia","45.666666666666664"
"2020-2022","2202778","Colônia do Piauí","28"
"2020-2022","2202802","Conceição do Canindé","4.333333333333333"
"2020-2022","2202851","Coronel José Dias","11.333333333333334"
"2020-2022","2202901","Corrente","100.33333333333333"
"2020-2022","2203008","Cristalândia do Piauí","40.333333333333336"
"2020-2022","2203107","Cristino Castro","53.333333333333336"
"2020-2022","2203206","Curimatá","8.666666666666666"
"2020-2022","2203230","Currais","108.33333333333333"
"2020-2022","2203271","Curral Novo do Piauí","0.6666666666666666"
"2020-2022","2203255","Curralinhos","4"
"2020-2022","2203305","Demerval Lobão","8"
"2020-2022","2203354","Dirceu Arcoverde","311"
"2020-2022","2203404","Dom Expedito Lopes","6.666666666666667"
"2020-2022","2203453","Dom Inocêncio","4"
"2020-2022","2203420","Domingos Mourão","1.3333333333333333"
"2020-2022","2203503","Elesbão Veloso","11.333333333333334"
"2020-2022","2203602","Eliseu Martins","21.333333333333332"
"2020-2022","2203701","Esperantina","29.666666666666668"
"2020-2022","2203750","Fartura do Piauí","273"
"2020-2022","2203800","Flores do Piauí","9"
"2020-2022","2203859","Floresta do Piauí","15.333333333333334"
"2020-2022","2203909","Floriano","366"
"2020-2022","2204006","Francinópolis","5.666666666666667"
"2020-2022","2204105","Francisco Ayres","14"
"2020-2022","2204154","Francisco Macedo","6.666666666666667"
"2020-2022","2204204","Francisco Santos","2.3333333333333335"
"2020-2022","2204303","Fronteiras","38.333333333333336"
"2020-2022","2204352","Geminiano","8.333333333333334"
"2020-2022","2204402","Gilbués","53.333333333333336"
"2020-2022","2204501","Guadalupe","10.666666666666666"
"2020-2022","2204550","Guaribas","238"
"2020-2022","2204600","Hugo Napoleão","3.3333333333333335"
"2020-2022","2204659","Ilha Grande","4.333333333333333"
"2020-2022","2204709","Inhuma","56.666666666666664"
"2020-2022","2204808","Ipiranga do Piauí","21"
"2020-2022","2204907","Isaías Coelho","5.666666666666667"
"2020-2022","2205003","Itainópolis","19.666666666666668"
"2020-2022","2205102","Itaueira","41"
"2020-2022","2205151","Jacobina do Piauí","13.666666666666666"
"2020-2022","2205201","Jaicós","10.666666666666666"
"2020-2022","2205250","Jardim do Mulato","10"
"2020-2022","2205276","Jatobá do Piauí","12"
"2020-2022","2205300","Jerumenha","5.666666666666667"
"2020-2022","2205359","João Costa","2.6666666666666665"
"2020-2022","2205409","Joaquim Pires","14"
"2020-2022","2205458","Joca Marques","1"
"2020-2022","2205508","José de Freitas","22.666666666666668"
"2020-2022","2205516","Juazeiro do Piauí","5"
"2020-2022","2205524","Júlio Borges","8.333333333333334"
"2020-2022","2205532","Jurema","6.666666666666667"
"2020-2022","2205557","Lagoa Alegre","2"
"2020-2022","2205573","Lagoa de São Francisco","1"
"2020-2022","2205565","Lagoa do Barro do Piauí","25"
"2020-2022","2205581","Lagoa do Piauí","20.666666666666668"
"2020-2022","2205599","Lagoa do Sítio","4.666666666666667"
"2020-2022","2205540","Lagoinha do Piauí","3"
"2020-2022","2205607","Landri Sales","6.666666666666667"
"2020-2022","2205706","Luís Correia","100.33333333333333"
"2020-2022","2205805","Luzilândia","91"
"2020-2022","2205854","Madeiro","1"
"2020-2022","2205904","Manoel Emídio","28"
"2020-2022","2205953","Marcolândia","4.666666666666667"
"2020-2022","2206001","Marcos Parente","2.6666666666666665"
"2020-2022","2206050","Massapê do Piauí","1"
"2020-2022","2206100","Matias Olímpio","26.666666666666668"
"2020-2022","2206209","Miguel Alves","10.666666666666666"
"2020-2022","2206308","Miguel Leão","1.6666666666666667"
"2020-2022","2206357","Milton Brandão","2.6666666666666665"
"2020-2022","2206407","Monsenhor Gil","12.333333333333334"
"2020-2022","2206506","Monsenhor Hipólito","37.333333333333336"
"2020-2022","2206605","Monte Alegre do Piauí","65"
"2020-2022","2206654","Morro Cabeça no Tempo","10"
"2020-2022","2206670","Morro do Chapéu do Piauí","1"
"2020-2022","2206696","Murici dos Portelas","2.3333333333333335"
"2020-2022","2206704","Nazaré do Piauí","6.666666666666667"
"2020-2022","2206720","Nazária","7.666666666666667"
