ESTBAN (Documento 4500) por municipio ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Data de geracao dos dados: 2023-07-03;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
#DATA_BASE;UF;CODMUN;MUNICIPIO;CNPJ;NOME_INSTITUICAO;AGEN_ESPERADAS;AGEN_PROCESSADAS;VERBETE_110_DISPONIBILIDADES;VERBETE_111_CAIXA;VERBETE_112_DEPOSITOS_BANCARIOS;VERBETE_113_BACEN_RESERV_BANC_EM_ESPECIE;VERBETE_120_APLIC_INTERFINANC_DE_LIQUIDEZ;VERBETE_130_TIT_E_VAL_MOB_E_INST_FIN_DERIV;VERBETE_140_REL_INTERFINANC_E_INTERDEPEND;VERBETE_141_CORRESPONDENTES_NO_EXTERIOR + VERBETE_142_CORRESPONDENTES_NO_PAIS;"VERBETE_144_COBRANCA_EM_TRANSITO + VERBETE_145_ORDENS_DE_PAGAMENTO	+ VERBETE_146_VAL_LIGADAS_E_TERC_EM_TRANSITO + VERBETE_147_DEPENDENCIAS_NO_PAIS	+ VERBETE_152_SUPRIMENTOS_INTERDEPENDENCIAS";VERBETE_158_OUTR_REL_INTERF_E_INTERDEPEND;VERBETE_160_OPERACOES_DE_CREDITO;VERBETE_161_EMPRES_E_TIT_DESCONTADOS;VERBETE_162_FINANCIAMENTOS;VERBETE_163_FIN_RURAIS_AGRICUL_CUST/INVEST;VERBETE_167_FINANCIAMENTOS_AGROINDUSTRIAIS;VERBETE_169_FINANCIAMENTOS_IMOBILIARIOS;VERBETE_171_OUTRAS_OPERACOES_DE_CREDITO;VERBETE_172_OUTROS_CREDITOS;VERBETE_174_PROV_P/_OPER_CREDITOS;VERBETE_176_OPERACOES_ESPECIAIS;VERBETE_180_ARRENDAMENTO_MERCANTIL;VERBETE_184_PROV_P/OPER_ARR_MERCANTIL;VERBETE_190_OUTROS_VALORES_E_BENS;VERBETE_200_PERMANENTE;VERBETE_399_TOTAL_DO_ATIVO;VERBETE_401_SERVICOS_PUBLICOS + VERBETE_402_ATIVIDADES_EMPRESARIAIS + VERBETE_403_ESPECIAIS_DO_TESOURO_NACIONAL + VERBETE_404_SALDOS_CREDORES_EM_CONTAS_DE_EMPRESTIMOS_E_FINAN + VERBETE_411_DE_PESSOAS_FISICAS + VERBETE_412_DE_PESSOAS_JURIDICAS + VERBETE_413_DE_INSTITUICOES_FINANCEIRAS + VERBETE_414_JUDICIAIS + VERBETE_415_OBRIGATORIOS + VERBETE_416_PARA_INVESTIMENTOS + VERBETE_417_VINCULADOS + VERBETE_418_DEMAIS_DEPOSITOS + VERBETE_419_SLD_CRED_CTAS_EMPR_FINANC_OUTR;VERBETE_420_DEPOSITOS_DE_POUPANCA;VERBETE_430_DEPOSITOS_INTERIFNANCEIROS;VERBETE_431_DEPOSITOS_INTERFINANCEIROS;VERBETE_432_DEPOSITOS_A_PRAZO;VERBETE_433_CAPTACEOS_NO_MERCADO_ABERTO;VERBETE_440_REL_INTERFINANC_E_INTERDEPEND;VERBETE_441_CORRESPONDENTES_NO_EXTERIOR + VERBETE_442_CORRESPONDENTES_NO_PAIS;VERBETE_444_COBRANCA_EM_TRANSITO + VERBETE_445_ORDENS_DE_PAGAMENTO + VERBETE_446_VAL_DE_LIG_E_TERC_EM_TRANSITO + VERBETE_447_DEPENDENCIAS_NO_PAIS + VERBETE_456_SUPRIM_INTERDEPARTAMENTAIS + VERBETE_458_OUTR_REL_INTERFIN_INTERDEPEND;VERBETE_460_OBRIG_POR_EMP_E_REPASSES;VERBETE_461_BANCO_CENTRAL_ASSISTENCIA_FINANCEIRA + VERBETE_467_OPERACOES_ESPECIAIS + VERBETE_468_OUTR_OBRIG_POR_EMPR_E_REPASSES;VERBETE_470_INST_FINANCEIROS_DERIVATIVOS;VERBETE_480_OBRIGACOES_POR_RECEBIMENTO;VERBETE_481_IOF + VERBETE_482_CONTRIBUICOES_PREVIDENCIARIAS + VERBETE_483_TRIBUTOS_ESTAD_E_MUNICIPAIS + VERBETE_484_TRIBUTOS_FEDERAIS + VERBETE_485_FGTS + VERBETE_487_DEMAIS_RECEBIMENTOS;VERBETE_490_CHEQUES_ADMINISTRATIVOS + VERBETE_500_OUTRAS_OBRIGACOES;VERBETE_610_PATRIMONIO_LIQUIDO;VERBETE_710_CONTAS_DE_RESULTADO;VERBETE_711_CONTAS_CREDORAS;VERBETE_712_CONTAS_DEVEDORAS;";";CODMUN_IBGE
202212;PI;1906;PAULISTANA;00000000;BCO DO BRASIL S.A.;1;1;1871922;1871922;0;0;0;0;7241047;5142;7235905;0;67052309;38292682;1108577;17477174;0;754724;0;9419153;0;0;0;0;14510;0;76179788;10149506;52047190;6682859;0;6682859;0;2728411;0;2728411;0;0;192;8965;8966;734131;0;3828535;6696696;-2868162;76179788;2207801
202212;PI;1906;PAULISTANA;00360305;CAIXA ECONOMICA FEDERAL;1;1;2273902;2273902;0;0;0;0;-27849;0;0;-27849;87747287;38471230;354520;59890;0;20533350;0;31153763;-2825467;0;0;0;620857;0;90614197;7810445;75365057;386497;0;386497;0;115834;0;115834;0;0;0;20849;20849;6021222;0;894294;5297201;-4402907;90614197;2207801
202212;PI;1906;PAULISTANA;07237373;BCO DO NORDESTE DO BRASIL S.A.;1;1;1474964;1474964;0;0;0;0;3083909;0;3083909;0;16234169;15429935;250482;519968;0;0;0;33784;0;0;0;0;2695;0;20795738;7926509;8277284;2607130;0;2607130;0;0;0;0;0;0;0;743;743;94349;0;1889723;4523811;-2634088;20795738;2207801
202212;PI;1906;PAULISTANA;60746948;BCO BRADESCO S.A.;1;1;1015968;1015968;0;0;0;0;21492003;0;21492003;0;5406674;2330874;0;2984446;0;0;0;91353;0;0;0;0;0;0;27914645;2450277;16283442;5815481;0;5815481;0;1100000;0;1100000;0;0;0;0;0;119239;0;2146206;2496150;-349944;27914645;2207801
202212;PI;4446;ITAUEIRA;00000000;BCO DO BRASIL S.A.;1;1;1074263;1074263;0;0;0;0;1653448;0;1653448;0;61111879;39785694;1536493;6046800;0;10627144;0;3115747;0;0;0;0;10883;0;63850472;5754134;26383174;4162635;0;4162635;0;22219847;0;22219848;0;0;0;10827;10826;348214;0;4971642;6483085;-1511443;63850472;2205102
202212;PI;5270;BATALHA;00000000;BCO DO BRASIL S.A.;1;1;2215010;2215010;0;0;0;0;2023713;8305;2015408;0;45985200;36489441;270611;5276599;0;627135;0;3321414;0;0;0;0;9961;0;50233883;4890422;28891598;4360540;0;4360540;0;7904408;0;7904409;0;0;0;9129;9129;556315;0;3621471;5388655;-1767183;50233883;2201507
202212;PI;6712;BURITI DOS LOPES;00000000;BCO DO BRASIL S.A.;1;1;903253;903253;0;0;0;0;2468715;11539;2457176;0;67834876;44606073;765066;18453384;0;227440;0;3782914;0;0;0;0;12697;0;71219540;7149475;18608799;3249568;0;3249568;0;35964929;0;35964929;0;0;0;9933;9933;758201;0;5478636;6809467;-1330831;71219540;2202000
202212;PI;8480;SIMPLICIO MENDES;00000000;BCO DO BRASIL S.A.;1;1;557272;557272;0;0;0;0;2336031;25741;2310290;0;85615348;59264498;1890147;17494489;0;716023;0;6250191;0;0;0;0;14510;0;88523162;10782748;42459237;6781842;0;6781842;0;19711493;0;19711493;0;0;0;14496;14496;1040865;0;7732481;10126753;-2394272;88523162;2210805
202212;PI;8813;JOSE DE FREITAS;00000000;BCO DO BRASIL S.A.;1;1;0;0;0;0;0;0;11110805;0;11110805;0;88705175;37573018;854192;102310;0;45466984;0;4708671;0;0;0;0;9069;0;99825049;8296973;25106922;3409652;0;3409652;0;52808622;0;52808622;0;0;0;9248;9248;1185358;0;9008273;10527364;-1519091;99825049;2205508
202212;PI;8813;JOSE DE FREITAS;00360305;CAIXA ECONOMICA FEDERAL;1;1;1802736;1802736;0;0;0;0;-34184315;204129;0;-34388444;62075697;25116284;158837;29820;0;42834007;248585;0;-6311835;0;0;0;826372;0;30520490;2816578;24471783;135643;0;135643;0;92012;320;91692;0;0;0;5928;5928;1729;0;2996816;4955672;-1958856;30520490;2205508
202212;PI;8978;BOM JESUS;00000000;BCO DO BRASIL S.A.;1;1;3257232;3257232;0;0;0;25696070;4717492;26532;4690960;0;421299024;94645712;6305309;301610592;1;2740476;76968;15919966;0;0;0;0;34462;0;455004281;39167928;52557243;24465330;0;24465330;0;309284666;0;309284666;0;0;6;163992;163992;1786361;0;27578756;32386153;-4807398;455004281;2201903
202212;PI;8978;BOM JESUS;00360305;CAIXA ECONOMICA FEDERAL;1;1;2008128;2008128;0;0;0;0;-29103818;142453;0;-29246271;118654414;69744913;520246;5028280;0;52154871;810468;0;-9604365;0;0;0;0;0;91558723;5220730;75281594;2154632;0;2154632;0;381535;1000;380535;0;0;0;22956;22957;4299065;0;4198211;11390452;-7192241;91558723;2201903
