"Tabela 1554 - Pessoas de 10 anos ou mais de idade, por nível de instrução - Resultados Gerais da Amostra"
"Variável - Pessoas de 10 anos ou mais de idade (Pessoas)"
"Município","Ano","Nível de instrução"
"Município","Ano","Total","Sem instrução e fundamental incompleto","Fundamental completo e médio incompleto","Médio completo e superior incompleto","Superior completo","Não determinado"
"Alta Floresta D'Oeste (RO)","2010","20434","13470","2925","3121","801","117"
"Ariquemes (RO)","2010","74725","40351","12630","16799","4275","671"
"Cabixi (RO)","2010","5291","3487","730","840","193","41"
"Cacoal (RO)","2010","66376","36674","12244","12943","4090","425"
"Cerejeiras (RO)","2010","14454","8642","2256","2562","765","229"
"Colorado do Oeste (RO)","2010","15769","9422","2425","2799","951","171"
"Corumbiara (RO)","2010","7419","5220","1319","626","245","10"
"Costa Marques (RO)","2010","10775","7283","1606","1379","356","151"
"Espigão D'Oeste (RO)","2010","23897","15087","4397","3197","1075","141"
"Guajará-Mirim (RO)","2010","33017","19374","5749","6233","1504","158"
"Jaru (RO)","2010","43210","26209","6725","7509","2193","574"
"Ji-Paraná (RO)","2010","97571","50280","17428","23179","5966","719"
"Machadinho D'Oeste (RO)","2010","25126","17965","3499","2747","667","247"
"Nova Brasilândia D'Oeste (RO)","2010","16720","11061","2707","2355","546","51"
"Ouro Preto do Oeste (RO)","2010","31910","19486","5226","5571","1460","166"
"Pimenta Bueno (RO)","2010","28322","15517","4875","5940","1592","398"
"Porto Velho (RO)","2010","356826","162564","61084","99657","30496","3025"
"Presidente Médici (RO)","2010","18860","12115","3090","2855","692","108"
"Rio Crespo (RO)","2010","2721","1836","374","430","65","16"
"Rolim de Moura (RO)","2010","42660","24187","7079","8698","2560","135"
"Santa Luzia D'Oeste (RO)","2010","7559","4712","1265","1267","300","15"
"Vilhena (RO)","2010","63430","31695","11671","14975","4822","267"
"São Miguel do Guaporé (RO)","2010","17893","12019","2882","2434","464","94"
"Nova Mamoré (RO)","2010","17778","13076","2338","1690","431","243"
"Alvorada D'Oeste (RO)","2010","14059","9133","2433","1896","556","41"
"Alto Alegre dos Parecis (RO)","2010","10425","7665","1439","1090","223","9"
"Alto Paraíso (RO)","2010","14005","10092","1800","1661","285","167"
"Buritis (RO)","2010","26103","17825","3913","3568","728","68"
"Novo Horizonte do Oeste (RO)","2010","8628","5787","1432","1132","255","22"
"Cacaulândia (RO)","2010","4694","3299","663","565","151","16"
"Campo Novo de Rondônia (RO)","2010","10084","7507","1499","757","217","104"
"Candeias do Jamari (RO)","2010","15803","9935","2637","2750","427","55"
"Castanheiras (RO)","2010","3034","1963","546","433","92","-"
"Chupinguaia (RO)","2010","6699","4423","1208","837","218","13"
"Cujubim (RO)","2010","12508","8945","1907","1390","184","82"
"Governador Jorge Teixeira (RO)","2010","8706","6354","1372","779","180","22"
"Itapuã do Oeste (RO)","2010","6887","4831","1019","852","178","7"
"Ministro Andreazza (RO)","2010","8531","5528","1503","1185","269","46"
"Mirante da Serra (RO)","2010","9809","6839","1695","995","275","5"
"Monte Negro (RO)","2010","11419","8085","1612","1204","432","86"
"Nova União (RO)","2010","6228","4590","918","603","114","3"
"Parecis (RO)","2010","3906","2744","585","432","136","10"
"Pimenteiras do Oeste (RO)","2010","1853","1128","323","318","84","-"
"Primavera de Rondônia (RO)","2010","2977","2115","467","326","69","-"
"São Felipe D'Oeste (RO)","2010","5114","3386","801","725","194","8"
"São Francisco do Guaporé (RO)","2010","12952","8865","2091","1514","426","56"
"Seringueiras (RO)","2010","9524","6968","1583","756","181","35"
"Teixeirópolis (RO)","2010","4138","2920","643","470","100","6"
"Theobroma (RO)","2010","8774","6559","1367","496","257","95"
"Urupá (RO)","2010","10813","7782","1677","1055","278","21"
"Vale do Anari (RO)","2010","7633","5533","1082","773","223","22"
"Vale do Paraíso (RO)","2010","6906","4790","1020","846","163","86"
"Acrelândia (AC)","2010","9843","6785","1499","1276","277","6"
"Assis Brasil (AC)","2010","4599","2952","805","693","140","7"
"Brasiléia (AC)","2010","17041","11367","2308","2504","715","147"
"Bujari (AC)","2010","6639","4723","973","737","187","18"
"Capixaba (AC)","2010","6821","5131","871","586","151","82"
