"Tabela 1685 - Unidades locais, empresas e outras organizações atuantes, pessoal ocupado total, pessoal ocupado assalariado, pessoal assalariado médio, salários e outras remunerações e salário médio mensal"
"Município","Ano","Variável"
"Município","Ano","Número de unidades locais (Unidades)","Número de empresas e outras organizações atuantes (Unidades)","Pessoal ocupado total (Pessoas)","Pessoal ocupado assalariado (Pessoas)","Pessoal assalariado médio (Pessoas)","Salários e outras remunerações (Mil Reais)","Salário médio mensal (Salários mínimos)","Salário médio mensal em reais (Reais)"
"Alta Floresta D'Oeste (RO)","2021","521","514","2913","2356","2603.01","68629","1.8","2028.08"
"Ariquemes (RO)","2021","2879","2778","20851","17176","16650.72","488764","2.1","2258.00"
"Cabixi (RO)","2021","57","56","548","492","499.73","14172","2.0","2181.42"
"Cacoal (RO)","2021","2817","2713","20913","17117","16999.28","473251","1.9","2141.50"
"Cerejeiras (RO)","2021","513","499","2881","2248","2221.63","65510","2.1","2268.26"
"Colorado do Oeste (RO)","2021","352","347","2591","2223","2189.13","56121","1.8","1972.00"
"Corumbiara (RO)","2021","132","129","976","830","835.62","26333","2.2","2424.09"
"Costa Marques (RO)","2021","208","206","1082","894","877.80","21029","1.7","1842.83"
"Espigão D'Oeste (RO)","2021","790","775","5746","4727","4757.91","122733","1.8","1984.27"
"Guajará-Mirim (RO)","2021","727","710","4577","3867","3808.39","110010","2.0","2222.02"
"Jaru (RO)","2021","1264","1210","11408","9849","9856.37","273636","1.9","2135.57"
"Ji-Paraná (RO)","2021","4271","4048","32785","27456","27722.16","765200","1.9","2123.27"
"Machadinho D'Oeste (RO)","2021","671","656","3960","3265","3163.31","84833","1.9","2062.91"
"Nova Brasilândia D'Oeste (RO)","2021","375","367","2241","1737","1682.54","48227","2.0","2204.84"
"Ouro Preto do Oeste (RO)","2021","865","842","6671","5657","5545.91","148037","1.9","2053.30"
"Pimenta Bueno (RO)","2021","1202","1173","10869","9384","9423.89","250332","1.9","2043.35"
"Porto Velho (RO)","2021","11663","10839","169540","156539","154107.35","7089991","3.2","3538.99"
"Presidente Médici (RO)","2021","455","443","2715","2377","2375.28","58891","1.7","1907.19"
"Rio Crespo (RO)","2021","57","57","530","473","464.48","13016","2.0","2155.57"
"Rolim de Moura (RO)","2021","1474","1432","13323","11400","11461.76","292392","1.8","1962.32"
"Santa Luzia D'Oeste (RO)","2021","114","112","817","702","726.53","17285","1.7","1830.06"
"Vilhena (RO)","2021","3609","3466","26107","21816","21658.00","665262","2.1","2362.82"
"São Miguel do Guaporé (RO)","2021","398","386","3734","3293","3167.80","88274","1.9","2143.53"
"Nova Mamoré (RO)","2021","366","351","2281","1869","1859.18","48229","1.8","1995.44"
"Alvorada D'Oeste (RO)","2021","268","262","1620","1308","1279.66","30186","1.6","1814.56"
"Alto Alegre dos Parecis (RO)","2021","170","170","1158","955","940.96","27838","2.1","2275.74"
"Alto Paraíso (RO)","2021","266","265","1601","1302","1265.78","37092","2.0","2254.10"
"Buritis (RO)","2021","595","581","4019","3297","3240.56","96626","2.1","2293.67"
"Novo Horizonte do Oeste (RO)","2021","131","127","903","766","751.63","20294","1.9","2076.95"
"Cacaulândia (RO)","2021","58","56","499","445","436.99","13069","2.1","2300.57"
"Campo Novo de Rondônia (RO)","2021","126","125","867","725","763.01","25427","2.3","2563.41"
"Candeias do Jamari (RO)","2021","359","355","2459","2090","2026.09","60738","2.1","2306.01"
"Castanheiras (RO)","2021","28","28","359","322","310.64","8251","1.9","2043.17"
"Chupinguaia (RO)","2021","241","239","2389","2113","2139.80","56749","1.9","2040.07"
"Cujubim (RO)","2021","321","320","1761","1395","1394.86","41747","2.1","2302.25"
"Governador Jorge Teixeira (RO)","2021","96","94","706","614","591.21","17782","2.1","2313.67"
"Itapuã do Oeste (RO)","2021","118","115","1193","1077","1142.72","34432","2.1","2317.81"
"Ministro Andreazza (RO)","2021","140","140","1003","836","848.58","23073","1.9","2091.51"
"Mirante da Serra (RO)","2021","203","199","1508","1308","1291.06","31441","1.7","1873.27"
"Monte Negro (RO)","2021","208","205","1478","1239","1240.88","34133","1.9","2115.94"
"Nova União (RO)","2021","73","73","528","464","467.60","11749","1.8","1932.79"
"Parecis (RO)","2021","56","55","550","480","488.31","15098","2.2","2378.38"
"Pimenteiras do Oeste (RO)","2021","46","45","400","349","365.36","10546","2.0","2220.37"
"Primavera de Rondônia (RO)","2021","48","48","388","340","337.73","8561","1.8","1949.90"
"São Felipe D'Oeste (RO)","2021","72","70","629","545","514.92","13449","1.8","2009.09"
"São Francisco do Guaporé (RO)","2021","323","320","1833","1483","1424.64","37012","1.8","1998.46"
"Seringueiras (RO)","2021","139","133","1298","1155","1130.54","32511","2.0","2212.07"
"Teixeirópolis (RO)","2021","59","59","535","420","428.84","11250","1.8","2017.89"
"Theobroma (RO)","2021","81","81","777","681","673.27","19406","2.0","2217.14"
"Urupá (RO)","2021","182","179","1493","1254","1338.45","31530","1.6","1812.07"
"Vale do Anari (RO)","2021","142","142","842","693","747.55","19588","1.8","2015.64"
"Vale do Paraíso (RO)","2021","93","91","770","674","666.98","17870","1.9","2060.93"
"Acrelândia (AC)","2021","133","131","978","847","837.43","22656","1.9","2081.13"
"Assis Brasil (AC)","2021","53","53","545","493","422.95","13817","2.3","2512.89"
"Brasiléia (AC)","2021","324","316","2886","2566","2394.04","62367","1.8","2003.92"
"Bujari (AC)","2021","80","80","1597","1518","1398.84","30646","1.5","1685.23"
"Capixaba (AC)","2021","65","65","650","589","557.27","17062","2.1","2355.14"
"Cruzeiro do Sul (AC)","2021","1236","1136","11869","10652","10182.34","261018","1.8","1971.87"
"Epitaciolândia (AC)","2021","298","292","2040","1762","1632.53","40219","1.7","1895.06"
"Feijó (AC)","2021","236","230","2382","2172","1914.97","45888","1.7","1843.31"
"Jordão (AC)","2021","25","25","624","603","552.15","12382","1.6","1725.03"
"Mâncio Lima (AC)","2021","100","94","1052","976","948.16","23928","1.8","1941.23"
"Manoel Urbano (AC)","2021","45","43","548","507","499.80","14949","2.1","2300.70"
"Marechal Thaumaturgo (AC)","2021","53","47","986","950","912.18","33519","2.6","2826.65"
"Plácido de Castro (AC)","2021","153","149","1021","879","888.70","25867","2.0","2238.94"
"Porto Walter (AC)","2021","38","37","956","923","886.44","20140","1.6","1747.74"
"Rio Branco (AC)","2021","6614","6086","106966","100343","99086.22","4690452","3.3","3641.31"
"Rodrigues Alves (AC)","2021","48","48","963","919","790.21","24222","2.1","2357.90"
"Santa Rosa do Purus (AC)","2021","17","17","270","259","257.42","8389","2.3","2506.86"
"Senador Guiomard (AC)","2021","178","174","2129","1972","1871.88","49932","1.9","2051.90"
"Sena Madureira (AC)","2021","298","292","3269","3013","2790.05","67170","1.7","1851.91"
"Tarauacá (AC)","2021","295","284","2388","2091","2052.80","61063","2.1","2288.17"
"Xapuri (AC)","2021","197","186","1091","896","904.14","23234","1.8","1976.74"
"Porto Acre (AC)","2021","79","78","1075","1009","803.05","24357","2.1","2333.14"
"Alvarães (AM)","2021","58","57","1326","1277","1052.73","26776","1.8","1956.52"
"Amaturá (AM)","2021","23","23","838","825","682.22","18091","1.9","2039.81"
"Anamã (AM)","2021","33","32","576","560","537.26","12524","1.6","1793.15"
"Anori (AM)","2021","55","55","859","810","776.80","20531","1.8","2033.13"
"Apuí (AM)","2021","385","380","1368","980","897.25","26601","2.1","2280.52"
"Atalaia do Norte (AM)","2021","34","30","1603","1580","1329.94","30311","1.6","1753.17"
"Autazes (AM)","2021","164","140","2281","2134","2142.06","62420","2.0","2241.56"
"Barcelos (AM)","2021","55","52","1007","958","1191.06","25430","1.5","1642.34"
"Barreirinha (AM)","2021","186","179","2826","2661","1973.29","53843","1.9","2098.90"
"Benjamin Constant (AM)","2021","151","150","2502","2358","2363.69","60306","1.8","1962.57"
"Beruri (AM)","2021","66","63","1396","1341","1293.19","32932","1.8","1958.90"
"Boa Vista do Ramos (AM)","2021","48","46","1602","1562","1334.89","30466","1.6","1755.63"
"Boca do Acre (AM)","2021","222","210","2413","2183","2347.91","46448","1.4","1521.74"
"Borba (AM)","2021","71","64","2807","2741","2845.79","72293","1.8","1954.13"
"Caapiranga (AM)","2021","25","25","1320","1300","1293.30","27038","1.5","1608.19"
"Canutama (AM)","2021","64","63","837","775","698.52","14655","1.5","1613.89"
"Carauari (AM)","2021","155","150","1542","1404","1216.44","32010","1.8","2024.17"
"Careiro (AM)","2021","152","143","2050","1911","1981.57","58131","2.1","2256.61"
"Careiro da Várzea (AM)","2021","63","63","1209","1175","1090.88","28408","1.8","2003.15"
"Coari (AM)","2021","453","434","8079","7650","7290.73","302089","2.9","3187.29"
"Codajás (AM)","2021","50","46","1481","1448","1278.96","32577","1.8","1959.33"
"Eirunepé (AM)","2021","222","216","1771","1586","1592.12","41403","1.8","2000.40"
"Envira (AM)","2021","59","57","1487","1436","1258.80","31093","1.7","1900.02"
"Fonte Boa (AM)","2021","109","107","2297","2203","2048.96","43673","1.5","1639.60"
"Guajará (AM)","2021","38","37","697","667","661.17","13244","1.4","1540.85"
"Humaitá (AM)","2021","701","687","4334","3698","3560.97","103544","2.0","2236.73"
"Ipixuna (AM)","2021","30","30","409","390","379.46","8514","1.6","1725.93"
"Iranduba (AM)","2021","425","411","5283","4752","4530.95","122855","1.9","2085.74"
"Itacoatiara (AM)","2021","853","792","10615","9807","9195.45","265834","2.0","2223.80"
"Itamarati (AM)","2021","50","49","1208","1167","1011.69","21770","1.5","1655.27"
"Itapiranga (AM)","2021","50","49","771","736","622.64","17280","1.9","2134.82"
"Japurá (AM)","2021","38","34","1103","1076","881.99","17903","1.4","1561.40"
"Juruá (AM)","2021","45","43","900","865","796.28","16505","1.4","1594.43"
"Jutaí (AM)","2021","122","121","845","734","726.91","14689","1.4","1554.45"
"Lábrea (AM)","2021","133","131","2208","2094","1849.50","50097","1.9","2083.59"
"Manacapuru (AM)","2021","791","752","7012","6180","6953.21","186465","1.9","2062.85"
"Manaquiri (AM)","2021","63","58","1183","1135","943.30","25634","1.9","2090.34"
"Manaus (AM)","2021","32090","28737","554913","519130","507460.38","21748979","3.0","3296.81"
"Manicoré (AM)","2021","501","490","2739","2236","2146.78","58638","1.9","2101.12"
"Maraã (AM)","2021","27","26","840","820","771.91","16309","1.5","1625.25"
"Maués (AM)","2021","465","450","3741","3357","3160.46","70293","1.6","1710.89"
"Nhamundá (AM)","2021","70","64","1180","1142","1284.24","28933","1.6","1733.05"
"Nova Olinda do Norte (AM)","2021","105","104","1786","1686","2122.38","45990","1.5","1666.84"
"Novo Airão (AM)","2021","128","127","1780","1629","1459.00","36685","1.8","1934.14"
"Novo Aripuanã (AM)","2021","93","93","963","884","988.71","22497","1.6","1750.31"
"Parintins (AM)","2021","851","804","8340","7586","6893.75","163921","1.7","1829.10"
"Pauini (AM)","2021","29","29","1150","1138","1021.60","28618","2.0","2154.86"
"Presidente Figueiredo (AM)","2021","235","227","5910","5662","5200.49","249535","3.4","3691.00"
"Rio Preto da Eva (AM)","2021","192","188","2179","1868","1757.18","49374","2.0","2161.42"
"Santa Isabel do Rio Negro (AM)","2021","35","33","1081","1053","890.58","20932","1.6","1807.94"
"Santo Antônio do Içá (AM)","2021","99","88","1361","1287","1241.54","25846","1.5","1601.34"
"São Gabriel da Cachoeira (AM)","2021","256","245","2730","2503","2298.17","67156","2.0","2247.81"
"São Paulo de Olivença (AM)","2021","54","52","2203","2160","1976.31","54335","1.9","2114.87"
"São Sebastião do Uatumã (AM)","2021","57","56","691","646","621.09","17834","2.0","2208.77"
"Silves (AM)","2021","37","34","796","766","678.40","24276","2.5","2752.64"
"Tabatinga (AM)","2021","304","288","5104","4808","4323.43","116108","1.9","2065.81"
